repository,T_total_hours,T_downtime_hours,availability,N_releases,N_bugs,N_total_builds,N_failed_builds,bug_error_rate,build_error_rate,N_failures,mtbf_hours
NijzinkM/ListLock,4150.32,1214.33,70.7413,5,6,0,0,1.2,0.0,6,691.72
badoualy/stepper-indicator,9460.22,0.0,100.0,7,0,0,0,0.0,0.0,0,
vanilla-music/vanilla-music-tag-editor,32396.93,0.0,100.0,18,0,0,0,0.0,0.0,0,
claha/movianremote,3122.32,0.0,100.0,8,0,0,0,0.0,0.0,0,
jagossel/MovingPolygons,3510.59,0.0,100.0,8,0,0,0,0.0,0.0,0,
bertilxi/DC-Android,51.47,0.0,100.0,2,0,0,0,0.0,0.0,0,
deepaktwr/BitFrames,38426.51,43.84,99.8859,5,3,0,0,0.6,0.0,3,12808.84
illusionww/gpsHub,480.82,0.0,100.0,2,0,0,0,0.0,0.0,0,
akrause2014/gcrf-REAR,5758.57,0.0,100.0,16,0,0,0,0.0,0.0,0,
mtransitapps/ca-fredericton-transit-bus-android,195.69,0.0,100.0,2,0,128,4,0.0,0.03125,4,48.92
TheNightmanCodeth/classi,62.38,0.0,100.0,3,0,0,0,0.0,0.0,0,
andremion/Louvre,37222.24,27817.67,25.266,6,4,0,0,0.666667,0.0,4,9305.56
avast/sms-ticket,6809.64,2250.7,66.9483,6,5,0,0,0.833333,0.0,5,1361.93
christarazi/random-restaurant-generator,7164.15,0.0,100.0,4,0,0,0,0.0,0.0,0,
0xbb/otp-authenticator,668.86,0.0,100.0,4,0,0,0,0.0,0.0,0,
TheAndroidMaster/Metronome-Android,8038.51,30.98,99.6146,8,3,0,0,0.375,0.0,3,2679.5
czodroid/droid48sx,3409.3,0.0,100.0,2,0,0,0,0.0,0.0,0,
wsv-accidis/in-sangbok,25039.6,39.31,99.843,4,2,0,0,0.5,0.0,2,12519.8
BILLyTheLiTTle/Play4Share,1089.07,0.0,100.0,4,0,0,0,0.0,0.0,0,
geniusforapp/fancyDialog,1236.88,0.0,100.0,3,0,0,0,0.0,0.0,0,
