repository,total_releases,failed_releases,change_failure_rate_percent
jeisfeld/RandomImage,47,0,0.0
brarcher/loyalty-card-locker,39,3,7.69
Esri/maps-app-android,18,1,5.56
gatzka/android-scan,24,0,0.0
SteamGifts/SteamGifts,83,31,37.35
sangcomz/FishBun,30,3,10.0
kiall/android-tvheadend,46,25,54.35
MythTV-Clients/MythtvPlayerForAndroid,14,9,64.29
BuildmLearn/BuildmLearn-Toolkit-Android,4,0,0.0
arantius/TiVo-Commander,1,0,0.0
MemoryGroup/442repo,4,0,0.0
GLodi/GitNav,7,0,0.0
caarmen/scrumchatter,23,0,0.0
MarquisLP/World-Scribe,24,1,4.17
macrat/RuuMusic,5,0,0.0
nutritionfactsorg/daily-dozen-android,13,1,7.69
cbeyls/fosdem-companion-android,8,0,0.0
limboemu/limbo,8,0,0.0
danirod/rectball,17,9,52.94
24HeuresINSA/24h-android-app,1,0,0.0
jawg/osm-contributor,19,1,5.26
markusfisch/ShaderEditor,22,0,0.0
nguillaumin/osmtracker-android,5,2,40.0
ibaton/3House,13,0,0.0
premnirmal/StockTicker,76,0,0.0
sky-map-team/stardroid,25,4,16.0
DylanVann/react-native-fast-image,79,29,36.71
SimpleMobileTools/Simple-Flashlight,61,7,11.48
konradrenner/kolabnotes-android,113,48,42.48
RayBa82/DVBViewerController,21,0,0.0
ultramega/elementary,28,0,0.0
y20k/trackbook,48,0,0.0
YaleSTC/YalePublic-android,6,3,50.0
rei-m/android_hyakuninisshu,27,0,0.0
InstaList/instalist-android,1,0,0.0
OpenSageTV/sagetv-miniclient,18,2,11.11
tomatrocho/insapp-android,17,0,0.0
franciscojunior/Vampidroid,15,1,6.67
uruba/TruckApp,18,0,0.0
mtransitapps/ca-vancouver-translink-bus-android,1,0,0.0
mtransitapps/ca-gatineau-sto-bus-android,1,0,0.0
neurodroid/cryptonite,8,1,12.5
MKergall/osmbonuspack,24,0,0.0
nightscout/android-uploader,9,0,0.0
ken-kentan/student-portal-plus,2,1,50.0
hbb20/CountryCodePickerProject,1,0,0.0
michaelkourlas/voipms-sms-client,36,11,30.56
mobfox/MobFox-Android-SDK,122,15,12.3
zond/android-diplicity,237,21,8.86
sjwall/MaterialTapTargetPrompt,62,11,17.74
nextgis/ngm_clink_monitoring,2,0,0.0
ligi/FAST,6,0,0.0
btimofeev/UniPatcher,15,0,0.0
LISPmob/lispmob,6,0,0.0
chaosbastler/opentraining,1,0,0.0
blabbertabber/blabbertabber,5,0,0.0
erdemolkun/instant-rates,4,0,0.0
mtransitapps/ca-gtha-go-transit-bus-android,2,0,0.0
dkrivoruchko/ScreenStream,124,3,2.42
tkrajina/10000sentences,6,0,0.0
